기관ID,주소,병원분류,병원분류명,기관명,병원경도,병원위도,작업시간
E1100006,서울특별시 동작구 만양로3길 80 (노량진동),R,보건소,서울특별시동작구보건소,126.941124327292,37.5057285769739,2026-08-07 14:53:12.0
A1100040,서울특별시 동작구 보라매로5길 20 (신대방동),A,종합병원,서울특별시보라매병원,126.92404876254014,37.4937184009319,2026-08-07 14:53:12.0
A1100184,서울특별시 중랑구 양원역로 38 (망우동),B,병원,서울특별시북부병원,127.10768066266,37.6043947292607,2026-08-07 14:53:12.0
A1100223,서울특별시 양천구 신정이펜1로 20 (신정동),A,종합병원,서울특별시서남병원,126.8331299304024,37.51201935883779,2026-08-07 14:53:12.0
A1100194,서울특별시 은평구 갈현로7길 49 (역촌동),B,병원,서울특별시서북병원,126.905664235484,37.6043567763756,2026-08-07 14:53:12.0
A1100035,서울특별시 중랑구 신내로 156 (신내동),A,종합병원,서울특별시서울의료원,127.0980910949257,37.61286931510163,2026-08-07 14:53:12.0
E1100018,서울특별시 송파구 올림픽로 326  (신천동),R,보건소,서울특별시송파구보건소,127.105859984389,37.514477182474,2026-08-07 14:53:12.0
A1107391,서울특별시 은평구 백련산로 90 (응암동),P,조산원,서울특별시은평병원,126.923210588363,37.5939702620381,2026-08-07 14:53:12.0
A1107467,서울특별시 성동구 마장로 207 (홍익동),M,치과병원,서울특별시장애인치과병원,127.032808348431,37.5667085892056,2026-08-07 14:53:12.0
E1100011,서울특별시 중구 다산로39길 16 (무학동),R,보건소,서울특별시중구보건소,127.01511277015929,37.56457086900509,2026-08-07 14:53:12.0
E1100024,서울특별시 중랑구 봉화산로 179 (신내동),R,보건소,서울특별시중랑구보건소,127.09285571438002,37.60687654865813,2026-08-07 14:53:12.0
A1100172,"서울특별시 강북구 도봉로 374 (번동, 서울현대병원)",A,종합병원,서울현대병원,127.028504374531,37.6402559204261,2026-08-07 14:53:12.0
E1100025,서울특별시 서초구 남부순환로 2584 (서초동),R,보건소,서초구보건소,127.03357578629902,37.48363181533362,2026-08-07 14:53:12.0
E1100015,서울특별시 성동구 마장로23길 10  (홍익동),R,보건소,성동구보건소,127.033214753272,37.5670791452692,2026-08-07 14:53:12.0
A1100028,서울특별시 강동구 성안로 150 (길동),A,종합병원,성심의료재단강동성심병원,127.13526354631517,37.53598408220376,2026-08-07 14:53:13.0
A1100054,"서울특별시 영등포구 여의대방로53길 22 (신길동, 성애병원)",A,종합병원,성애의료재단성애병원,126.92236733617031,37.51205044957338,2026-08-07 14:53:13.0
A1100032,서울특별시 종로구 통일로 256 (무악동),A,종합병원,세란병원,126.9577071892358,37.57534016994642,2026-08-07 14:53:13.0
A1100004,서울특별시 용산구 대사관로 59 (한남동),A,종합병원,순천향대학교부속서울병원,127.00441798640304,37.53384172231443,2026-08-07 14:53:13.0
A1100045,"서울특별시 영등포구 영등포로36길 13 (영등포동4가, 충무병원)",A,종합병원,씨엠병원,126.90367981067837,37.518848328762154,2026-08-07 14:53:13.0
E1100014,서울특별시 양천구 목동서로 339 (신정동),R,보건소,양천구보건소,126.86588962916724,37.517535585625694,2026-08-07 14:53:14.0
A1100015,"서울특별시 강남구 언주로 211, 강남세브란스병원 (도곡동)",A,종합병원,연세대학교의과대학강남세브란스병원,127.04631254186797,37.492806984645476,2026-08-07 14:53:14.0
A1100007,서울특별시 서대문구 연세로 50-1 (신촌동),A,종합병원,연세대학교의과대학세브란스병원,126.94082769649863,37.56211711412639,2026-08-07 14:53:14.0
E1100005,서울특별시 영등포구 당산로 123  (당산동3가),R,보건소,영등포구보건소,126.8963695056,37.5259636096,2026-08-07 14:53:15.0
E1100008,"서울특별시 용산구 녹사평대로 150 (이태원동, 용산구종합행정타운)",R,보건소,용산구보건소,126.96626270649707,37.53861736581427,2026-08-07 14:53:15.0
A1100042,서울특별시 강서구 하늘길 70 (과해동),A,종합병원,우리들병원,126.7963653099318,37.56199597494205,2026-08-07 14:53:15.0
